comment;sentiment;simple_comment;stemm_comment;lemma_comment
J'ai réservé ma table quelques mois à l'avance. Le service était impeccable pendant tout le processus. Nous sommes arrivés à temps et étaient rapidement assis. Un personnel très accueillant attention à tous les détails. Nous avons eu un verre de champagne tandis que nous avons...Plus;Positive;['réservé', 'table', 'mois', 'avance', 'service', 'impeccable', 'processus', 'sommes', 'arrivés', 'temps', 'rapidement', 'assis', 'personnel', 'très', 'accueillant', 'attention', 'détails', 'verre', 'champagne', 'tandis', 'plus'];['réserv', 'tabl', 'mois', 'avanc', 'servic', 'impecc', 'processus', 'somm', 'arriv', 'temp', 'rapid', 'assis', 'personnel', 'tres', 'accueil', 'attent', 'détail', 'verr', 'champagn', 'tand', 'plus'];['réserver', 'table', 'mois', 'avance', 'service', 'impeccable', 'processus', 'être', 'arriver', 'temps', 'rapidement', 'asseoir', 'personnel', 'très', 'accueillir', 'attention', 'détail', 'verre', 'champagne', 'tandis', 'plus']
Que dire... Nicolas sale est un chef d exception... Que dire... Rien.. Ou tout.. Tout est incroyable... Subtil... Délicat.. Envoûtant.. Délicieux.. Tout est fin.. Extrêmement bien dosé...c'est une table d exception ! Le turbot roti a l ancienne en photo.. Et La volaille-écrevisse.. Un met...Plus;Positive;['nicolas', 'sale', 'chef', 'exception', 'rien', 'incroyable', 'subtil', 'délicat', 'envoûtant', 'délicieux', 'fin', 'extrêmement', 'bien', 'dosé', 'table', 'exception', 'turbot', 'roti', 'ancienne', 'photo', 'volaille', 'écrevisse', 'met', 'plus'];['nicol', 'sal', 'chef', 'except', 'rien', 'incroi', 'subtil', 'délicat', 'envoût', 'délici', 'fin', 'extrêm', 'bien', 'dos', 'tabl', 'except', 'turbot', 'rot', 'ancien', 'photo', 'volaill', 'écrev', 'met', 'plus'];['nicolas', 'sale', 'chef', 'exception', 'rien', 'incroyable', 'subtil', 'délicat', 'envoûtant', 'délicieux', 'fin', 'extrêmement', 'bien', 'doser', 'table', 'exception', 'turbot', 'roti', 'ancien', 'photo', 'volaille', 'écreviss', 'mettre', 'plus']
Dans une rue tranquille non loin du Panthéon un joyau culinaire. Diner-menu à 59 € en 5 services + choix de vin (2 verres de blanc Riesling et Pernand Vergelesses délicieux tous deux ) à 19 €. Les plats sont très bien réalisés d'une cuisine...Plus;Positive;['rue', 'tranquille', 'non', 'loin', 'panthéon', 'joyau', 'culinaire', 'diner', 'menu', 'services', 'choix', 'vin', 'verres', 'blanc', 'riesling', 'pernand', 'vergelesses', 'délicieux', 'plats', 'très', 'bien', 'réalisés', 'cuisine', 'plus'];['ru', 'tranquill', 'non', 'loin', 'panthéon', 'joyau', 'culinair', 'din', 'menu', 'servic', 'choix', 'vin', 'verr', 'blanc', 'riesling', 'pernand', 'vergeless', 'délici', 'plat', 'tres', 'bien', 'réalis', 'cuisin', 'plus'];['rue', 'tranquille', 'non', 'loin', 'panthéon', 'joyau', 'culinaire', 'diner', 'menu', 'service', 'choix', 'vin', 'verre', 'blanc', 'riesling', 'pernand', 'vergelesse', 'délicieux', 'plat', 'très', 'bien', 'réaliser', 'cuisine', 'plus']
Rien à redire le restaurant est irréprochablement propre le service est discret mais courtois et le menu est simple mais efficace. Sans parler du caviar... Merci pour ce délicieux moment je reviendrai !;Positive;['rien', 'redire', 'restaurant', 'irréprochablement', 'propre', 'service', 'discret', 'courtois', 'menu', 'simple', 'efficace', 'caviar', 'délicieux', 'moment', 'reviendrai'];['rien', 'redir', 'restaur', 'irréproch', 'propr', 'servic', 'discret', 'courtois', 'menu', 'simpl', 'efficac', 'caviar', 'délici', 'moment', 'reviendr'];['rien', 'redire', 'restaurant', 'irréprochablement', 'propre', 'service', 'discret', 'courtois', 'menu', 'simple', 'efficace', 'caviar', 'délicieux', 'moment', 'revenir']
Comme avec les autres commentaires nos repas étaient incroyablement délicieuse et belle présentation du début à la fin! Ce restaurant est assez petite et extrêmement populaire donc il est obligatoire de réserver bien à l'avance. Le site internet est très facile et pratique de faire...Plus;Positive;['commentaires', 'repas', 'incroyablement', 'délicieuse', 'belle', 'présentation', 'début', 'fin', 'restaurant', 'petite', 'extrêmement', 'populaire', 'obligatoire', 'réserver', 'bien', 'avance', 'site', 'internet', 'très', 'facile', 'pratique', 'faire', 'plus'];['commentair', 'rep', 'incroi', 'délici', 'bel', 'présent', 'début', 'fin', 'restaur', 'petit', 'extrêm', 'populair', 'obligatoir', 'réserv', 'bien', 'avanc', 'sit', 'internet', 'tres', 'facil', 'pratiqu', 'fair', 'plus'];['commentaire', 'repas', 'incroyablement', 'délicieux', 'bel', 'présentation', 'début', 'fin', 'restaurant', 'petit', 'extrêmement', 'populaire', 'obligatoire', 'réserver', 'bien', 'avance', 'site', 'internet', 'très', 'facile', 'pratique', 'faire', 'plus']
Déjeuner hier avec une copine. Impossible de réserver une table mais ce n'est pas grave il y a la queue devant le restaurant mais on n'attend pas longtemps. La patronne accueille les gens elle est drole et très sympa. L’assiette végétarienne est excellente : tout...Plus;Positive;['déjeuner', 'hier', 'copine', 'impossible', 'réserver', 'table', 'ne', 'pas', 'grave', 'queue', 'restaurant', 'ne', 'attend', 'pas', 'patronne', 'accueille', 'drole', 'très', 'sympa', 'assiette', 'végétarienne', 'excellente', 'plus'];['déjeun', 'hi', 'copin', 'impossibl', 'réserv', 'tabl', 'ne', 'pas', 'grav', 'queu', 'restaur', 'ne', 'attend', 'pas', 'patron', 'accueil', 'drol', 'tres', 'symp', 'assiet', 'végétarien', 'excellent', 'plus'];['déjeuner', 'hier', 'copine', 'impossible', 'réserver', 'table', 'ne', 'pas', 'grave', 'queue', 'restaurant', 'ne', 'attendre', 'pas', 'patronne', 'accueillir', 'drole', 'très', 'sympa', 'assiette', 'végétarien', 'excellent', 'plus']
Visite dimanche midi accueil super conviviale familiale avec la sensation d'aller manger chez sa petite mamie. Explications de toutes les particularités de la cuisine iranienne et les propositions d'accord de plats entre eux... Miam! La cuisine est excellente tout fait maison un régal de saveurs...Plus;Positive;['visite', 'dimanche', 'midi', 'accueil', 'super', 'conviviale', 'familiale', 'sensation', 'aller', 'manger', 'petite', 'mamie', 'explications', 'particularités', 'cuisine', 'iranienne', 'propositions', 'accord', 'plats', 'miam', 'cuisine', 'excellente', 'maison', 'régal', 'saveurs', 'plus'];['visit', 'dimanch', 'mid', 'accueil', 'sup', 'convivial', 'familial', 'sensat', 'aller', 'mang', 'petit', 'mam', 'expliqu', 'particular', 'cuisin', 'iranien', 'proposit', 'accord', 'plat', 'miam', 'cuisin', 'excellent', 'maison', 'régal', 'saveur', 'plus'];['visite', 'dimanche', 'midi', 'accueil', 'super', 'convivial', 'familial', 'sensation', 'aller', 'manger', 'petit', 'mamie', 'explication', 'particularité', 'cuisine', 'iranien', 'proposition', 'accord', 'plat', 'miam', 'cuisine', 'excellent', 'maison', 'régal', 'saveur', 'plus']
Ce restaurant devrait servir d’exemple dans les écoles d’hôtellerie ! Personnel très agréable et attentionné sans être intrusif. Rapport qualité prix excellent. Les plats proposés sont goûteux et les serveurs sont de bon conseil. Un apéritif et un digestif sont offerts ce qui rend cette...Plus;Positive;['restaurant', 'devrait', 'servir', 'exemple', 'écoles', 'hôtellerie', 'personnel', 'très', 'agréable', 'attentionné', 'intrusif', 'rapport', 'qualité', 'prix', 'excellent', 'plats', 'proposés', 'goûteux', 'serveurs', 'bon', 'conseil', 'apéritif', 'digestif', 'offerts', 'plus'];['restaur', 'devr', 'serv', 'exempl', 'écol', 'hôteller', 'personnel', 'tres', 'agréabl', 'attention', 'intrus', 'rapport', 'qualit', 'prix', 'excellent', 'plat', 'propos', 'goûteux', 'serveur', 'bon', 'conseil', 'apérit', 'digest', 'offert', 'plus'];['restaurant', 'devoir', 'servir', 'exemple', 'école', 'hôtellerie', 'personnel', 'très', 'agréable', 'attentionné', 'intrusif', 'rapport', 'qualité', 'prix', 'excellent', 'plat', 'proposer', 'goûteux', 'serveur', 'bon', 'conseil', 'apéritif', 'digestif', 'offrir', 'plus']
Oxte sert une cuisine originale et élaborée. Malheureusement si les juxtapositions imaginées par le chef ont d'abord excité notre curiosité la saveur des plats avec beaucoup de notes sucrées ne nous a pas paru au niveau des efforts qu'avaient nécessité leur préparation. Service assez lent...Plus;Negative;['oxte', 'sert', 'cuisine', 'originale', 'élaborée', 'malheureusement', 'juxtapositions', 'imaginées', 'chef', 'excité', 'curiosité', 'saveur', 'plats', 'beaucoup', 'notes', 'sucrées', 'ne', 'pas', 'paru', 'niveau', 'efforts', 'qu', 'nécessité', 'préparation', 'service', 'lent', 'plus'];['oxte', 'sert', 'cuisin', 'original', 'élabor', 'malheur', 'juxtaposit', 'imagin', 'chef', 'excit', 'curios', 'saveur', 'plat', 'beaucoup', 'not', 'sucr', 'ne', 'pas', 'paru', 'niveau', 'effort', 'qu', 'nécess', 'prépar', 'servic', 'lent', 'plus'];['oxte', 'servir', 'cuisine', 'original', 'élaborer', 'malheureusement', 'juxtaposition', 'imaginer', 'chef', 'excité', 'curiosité', 'saveur', 'plat', 'beaucoup', 'note', 'sucrer', 'ne', 'pas', 'paraître', 'niveau', 'effort', 'nécessité', 'préparation', 'service', 'lent', 'plus']
On voulait réserver donc comme tout le monde on appelle et on dit bonjour. ... et sans nous laisser de temps de dire ouf on nous répond qu'on a pas le temps et qu'il faut rappeler ... et on nous raccrohe au nez ! Donc...Plus;Negative;['voulait', 'réserver', 'monde', 'appelle', 'bonjour', 'temps', 'ouf', 'répond', 'qu', 'pas', 'temps', 'qu', 'faut', 'rappeler', 'raccrohe', 'nez', 'plus'];['voul', 'réserv', 'mond', 'appel', 'bonjour', 'temp', 'ouf', 'répond', 'qu', 'pas', 'temp', 'qu', 'faut', 'rappel', 'raccroh', 'nez', 'plus'];['vouloir', 'réserver', 'monde', 'appeler', 'bonjour', 'temps', 'ouf', 'répondre', 'pas', 'temps', 'falloir', 'rappeler', 'raccrohe', 'nez', 'plus']
