Model;Pipeline;CV_train_score;eval_score;eval_precision;eval_recall;eval_F1score;eval_AUC;train_score;test_score;precision;recall;F1score;AUC;AUC_proba
Spacy Lemma tokenizer + TF-IDF bigram + Linear SVC;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function spacyTokenizer_lemma at 0x7fdd04cad158>)),
                ('clf',
                 SVC(kernel='linear', probability=True, random_state=0))])";99.9;88.9;0.889;0.941;0.914;0.95;99.9;89.1;0.897;0.935;0.915;0.8759999999999999;0.9579520697167756
Stemm tokenizer + TF-IDF bigram + Linear SVC;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function Tokenizer_stemm at 0x7fdd06f4d598>)),
                ('clf',
                 SVC(kernel='linear', probability=True, random_state=0))])";99.9;88.3;0.884;0.938;0.91;0.95;99.9;89.9;0.895;0.951;0.922;0.8809999999999999;0.9605846042120552
Stemm tokenizer + TF-IDF bigram + SGDClassifier;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function Tokenizer_stemm at 0x7fdd06f4d598>)),
                ('clf', SGDClassifier(random_state=0))])";100.0;88.2;0.8859999999999999;0.9329999999999999;0.9079999999999999;0.948;100.0;89.1;0.899;0.9309999999999999;0.915;0.877;
No tokenizer + Count Vectorizer + Naive Bayes Multinomial;Pipeline(steps=[('vectorizer', CountVectorizer()), ('clf', MultinomialNB())]);98.3;87.5;0.875;0.937;0.905;0.953;98.2;89.1;0.889;0.9440000000000001;0.9159999999999999;0.872;0.9510348583877996
Simple tokenizer + TF-IDF bigram + Linear SVC;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function Tokenizer_simple at 0x7fdd09f40c80>)),
                ('clf',
                 SVC(kernel='linear', probability=True, random_state=0))])";99.9;87.6;0.879;0.9329999999999999;0.905;0.9420000000000001;99.9;87.4;0.884;0.922;0.902;0.858;0.943681917211329
Spacy Lemma tokenizer + TF-IDF bigram + SGDClassifier;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function spacyTokenizer_lemma at 0x7fdd04cad158>)),
                ('clf', SGDClassifier(random_state=0))])";100.0;87.7;0.884;0.927;0.905;0.95;100.0;88.9;0.8959999999999999;0.9309999999999999;0.9129999999999999;0.8740000000000001;
No tokenizer + TF-IDF + Linear SVC;"Pipeline(steps=[('vectorizer', TfidfVectorizer()),
                ('clf',
                 SVC(kernel='linear', probability=True, random_state=0))])";99.1;87.7;0.894;0.915;0.904;0.9470000000000001;98.9;87.2;0.8909999999999999;0.9079999999999999;0.9;0.86;0.9429012345679012
Stemm tokenizer + Count Vectorizer bigram + Naive Bayes Multinomial;"Pipeline(steps=[('vectorizer',
                 CountVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function Tokenizer_stemm at 0x7fdd06f4d598>)),
                ('clf', MultinomialNB())])";99.9;86.7;0.847;0.968;0.903;0.95;99.9;89.3;0.871;0.9740000000000001;0.92;0.865;0.96741103848947
Stemm tokenizer + TF-IDF + Linear SVC;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(tokenizer=<function Tokenizer_stemm at 0x7fdd06f4d598>)),
                ('clf',
                 SVC(kernel='linear', probability=True, random_state=0))])";98.8;87.4;0.89;0.9129999999999999;0.9009999999999999;0.941;98.8;89.9;0.9209999999999999;0.9179999999999999;0.92;0.892;0.9530682643427744
Simple tokenizer + TF-IDF bigram + SGDClassifier;"Pipeline(steps=[('vectorizer',
                 TfidfVectorizer(ngram_range=(1, 2),
                                 tokenizer=<function Tokenizer_simple at 0x7fdd09f40c80>)),
                ('clf', SGDClassifier(random_state=0))])";100.0;87.2;0.877;0.927;0.9009999999999999;0.943;100.0;87.7;0.88;0.9309999999999999;0.905;0.857;
